"","site","date","Depth_ft","DO_mg.L","pH","Specific_Conductivity_uS.cm","Temperature_C"
"1","legacy",2023-04-01,0.65879194139481,11.172487112192,9.21820922998282,236.91146928072,10.2286668373988
"2","legacy",2023-04-02,0.735372430893782,9.45203970753869,8.80035423097156,238.321378293245,9.3186646848917
"3","legacy",2023-04-03,0.77262415510545,8.84365414381027,8.58548512666122,209.458090067287,9.67798886299133
"4","legacy",2023-04-04,0.806419623744084,10.4393796298815,8.72219783268618,12.8213415340155,5.73556516071161
"5","legacy",2023-04-05,0.821604065649385,10.6897651672363,8.64274903475228,3.41154256386635,4.75793561777648
"6","legacy",2023-04-06,0.763926746947109,10.5652397684304,8.82329461688087,0.0883704030088016,5.89760152834008
"7","legacy",2023-04-07,0.686905360347797,9.86732944912381,8.81053420630368,296.75667869754,8.85878202650282
"8","legacy",2023-04-08,0.69779830423758,9.46265667042834,8.86541565259298,278.243925973271,9.91091614464919
"9","legacy",2023-04-09,0.748202870017589,9.65696378376173,8.82311047001889,264.500318230523,9.73947757979234
"10","legacy",2023-04-10,0.751890065615449,9.03932207695981,8.8250904083252,252.504911841416,11.811674028635
"11","legacy",2023-04-11,0.851755781657471,8.57955850164096,8.76745982964834,237.071946779887,12.5789069554892
"12","legacy",2023-04-12,1.02341565722379,8.28723533102807,8.63329606254896,201.685624758402,13.0701316240672
"13","legacy",2023-04-13,0.718087816617118,8.34244702543531,8.45770335197449,244.125958919525,13.6904079503026
"14","legacy",2023-04-14,0.79445776215819,8.46936265627543,8.37403451402982,206.929206848145,11.1221994161606
"15","legacy",2023-04-15,1.00838412528964,9.82915846856086,8.38239119450251,170.68758837382,7.8395624657472
"16","legacy",2023-04-16,0.890409884286035,9.78168739875158,8.44427153468132,179.770943800608,8.45701720317205
"17","legacy",2023-04-17,0.952769983374287,9.24167232310518,8.47416859484733,183.550434843023,10.2630864508609
"18","legacy",2023-04-18,1.06444921598587,8.8855457672706,8.36441669883309,174.51254255693,10.9138815324385
"19","legacy",2023-04-19,1.25609388248286,9.07302207748095,8.35046644012133,157.108459472656,10.2943619439999
"20","legacy",2023-04-20,1.27326435613769,10.1199849234687,8.33583654827542,154.674034457737,6.82324774530199
"21","legacy",2023-04-21,1.19618826089493,10.3475624720256,8.38035507996877,168.377940972646,6.07199095686277
