"","site","hour","Depth_ft","DO_mg.L","pH","Specific_Conductivity_uS.cm","Temperature_C"
"1","legacy",2023-04-01 17:00:00,0.655824145799452,11.7132525444031,8.80794477462769,143.453332662582,7.33282542228699
"2","legacy",2023-04-01 18:00:00,0.652699759627313,11.5902745723724,9.06686449050903,261.20238494873,8.58542704582214
"3","legacy",2023-04-01 19:00:00,0.629523401735591,11.3758940696716,9.16185545921326,237.820117950439,9.96007537841797
"4","legacy",2023-04-01 20:00:00,0.614159484489224,11.2805442810059,9.23238348960876,253.119968414307,10.981251001358
"5","legacy",2023-04-01 21:00:00,0.621682395563315,11.1264364719391,9.31139779090881,253.562492370605,11.3650529384613
"6","legacy",2023-04-01 22:00:00,0.698785789320335,10.8613610267639,9.34564757347107,254.051956176758,11.1092245578766
"7","legacy",2023-04-01 23:00:00,0.73738471543076,10.5300295352936,9.39623880386353,217.011207580566,10.8188908100128
"8","legacy",2023-04-02 00:00:00,0.762677068082042,10.1283462047577,9.42036175727844,238.574108123779,10.7336030006409
"9","legacy",2023-04-02 01:00:00,0.754656294295371,9.3052294254303,9.38700890541077,237.174579620361,10.5906245708466
"10","legacy",2023-04-02 02:00:00,0.750514188583447,8.50245332717896,9.27069234848022,253.63005065918,10.3114960193634
"11","legacy",2023-04-02 03:00:00,0.753459030658616,8.04842591285706,9.15004014968872,242.819473266602,10.0036082267761
"12","legacy",2023-04-02 04:00:00,0.746100047264063,8.01880526542664,9.00897002220154,239.162864685059,9.65588402748108
"13","legacy",2023-04-02 05:00:00,0.74454219041604,8.04592800140381,8.84074473381042,238.15731048584,9.27592134475708
"14","legacy",2023-04-02 06:00:00,0.755717629535365,8.08857297897339,8.63463973999023,241.622074127197,8.87155628204346
"15","legacy",2023-04-02 07:00:00,0.762858847353262,8.18047595024109,8.45182728767395,236.84504699707,8.45871520042419
"16","legacy",2023-04-02 08:00:00,0.77492747700429,8.29996514320374,8.34581851959229,235.962226867676,8.04637706279755
"17","legacy",2023-04-02 09:00:00,0.792112331107977,8.43275475502014,8.2859628200531,236.120468139648,7.58424055576324
"18","legacy",2023-04-02 10:00:00,0.798765550782321,8.56686639785767,8.25068354606628,236.026706695557,7.12940180301666
"19","legacy",2023-04-02 11:00:00,0.805904518524807,8.72615575790405,8.23043489456177,236.572597503662,6.66687953472137
"20","legacy",2023-04-02 12:00:00,0.805290233036094,8.86926198005676,8.21883273124695,238.62894821167,6.23062133789062
"21","legacy",2023-04-02 13:00:00,0.798363085306758,9.09732341766358,8.24730730056763,240.306507110596,5.89119517803192
"22","legacy",2023-04-02 14:00:00,0.726531960967413,NA,8.39687132835388,241.548927307129,5.99217689037323
"23","legacy",2023-04-02 15:00:00,0.664578533577494,NA,8.67034411430359,241.613803863525,6.5313560962677
"24","legacy",2023-04-02 16:00:00,0.62972763705745,11.5215504964193,8.93026566505432,243.63916015625,7.64931213855743
"25","legacy",2023-04-02 17:00:00,0.618367825864773,11.5033602714539,9.10303783416748,242.721622467041,9.01045966148376
"26","legacy",2023-04-02 18:00:00,0.6214448263428,11.4205510616302,9.23811459541321,229.401142120361,10.360759973526
"27","legacy",2023-04-02 19:00:00,0.628253271418267,11.2588231563568,9.32590818405151,231.112804412842,11.67662358284
"28","legacy",2023-04-02 20:00:00,0.637933140545353,11.0593779087067,9.39957237243652,221.893508911133,12.6933059692383
"29","legacy",2023-04-02 21:00:00,0.705444805546569,10.8265688419342,NA,237.011001586914,13.393871307373
"30","legacy",2023-04-02 22:00:00,0.811862092367716,10.5122346878052,NA,222.523518880208,13.502326965332
"31","legacy",2023-04-02 23:00:00,0.798905755812481,9.96054124832153,NA,251.573674519857,13.3876357078552
"32","legacy",2023-04-03 00:00:00,0.799740876517153,9.30822682380676,NA,241.015914916992,13.1724030971527
"33","legacy",2023-04-03 01:00:00,0.779780219116289,8.52896928787231,NA,222.811336517334,12.8214967250824
"34","legacy",2023-04-03 02:00:00,0.776627103504449,7.84262955188751,NA,215.52746963501,12.3722786903381
"35","legacy",2023-04-03 03:00:00,0.772251079356619,7.57180917263031,9.21668720245361,222.939399719238,11.9885153770447
"36","legacy",2023-04-03 04:00:00,0.774579251757208,7.56328082084656,9.05102491378784,219.907356262207,11.5997138023376
"37","legacy",2023-04-03 05:00:00,0.77732620640539,7.59330034255981,8.83948755264282,218.192653656006,11.2061672210693
"38","legacy",2023-04-03 06:00:00,0.788750465122293,7.68830025196075,8.58621954917908,216.942390441895,10.6814448833466
"39","legacy",2023-04-03 07:00:00,0.790960486211995,7.83085334300995,8.41084599494934,220.092231750488,10.08225274086
"40","legacy",2023-04-03 08:00:00,0.803335602956265,7.9999988079071,8.3126220703125,220.598567962646,9.47274422645569
"41","legacy",2023-04-03 09:00:00,0.818887781479181,8.18796968460083,8.26140475273132,221.220417022705,8.88430976867676
"42","legacy",2023-04-03 10:00:00,0.823786508576095,8.37451124191284,8.23988008499146,224.531044006348,8.29825210571289
"43","legacy",2023-04-03 11:00:00,0.834867712749015,8.55196857452393,8.22545504570007,226.318817138672,7.83505642414093
"44","legacy",2023-04-03 12:00:00,0.851845962246138,8.71162247657776,8.2203950881958,233.647338867188,7.44781672954559
"45","legacy",2023-04-03 13:00:00,0.847944271876609,9.01237916946411,8.25109815597534,228.990230560303,7.03675782680511
"46","legacy",2023-04-03 14:00:00,0.851207730590621,9.77789831161499,8.38139247894287,230.151405334473,6.78508639335632
"47","legacy",2023-04-03 15:00:00,0.838087332245391,10.6414382457733,8.6091206073761,230.446807861328,6.8061934709549
